tweet_id,company,tweet_text,sentiment
1,Apple,Apple's performance is top-notch. Kudos to the team!,positive
2,Google,Great customer service from Google. Totally satisfied!,positive
3,Apple,Still exploring Apple. Too early to judge.,neutral
4,Apple,Tried out Apple. Mixed feelings about it.,neutral
5,Apple,The new Apple update is amazing! Loving the features.,positive
6,Google,Fast and reliable – Google never disappoints!,positive
7,Meta,Fast and reliable – Meta never disappoints!,positive
8,Google,Still exploring Google. Too early to judge.,neutral
9,Microsoft,Impressed with Microsoft's latest product release.,positive
10,Meta,Really disappointed with Meta. Not what I expected.,negative
11,Google,Tried out Google. Mixed feelings about it.,neutral
12,Amazon,Amazon keeps crashing. Super annoying.,negative
13,Google,Really disappointed with Google. Not what I expected.,negative
14,Apple,Really disappointed with Apple. Not what I expected.,negative
15,Amazon,Amazon update broke everything. Please fix it!,negative
16,Amazon,Impressed with Amazon's latest product release.,positive
17,Meta,Impressed with Meta's latest product release.,positive
18,Apple,"Not good, not bad. Apple is just average.",neutral
19,Meta,Meta update broke everything. Please fix it!,negative
20,Google,"I used Google today. It's okay, nothing special.",neutral
21,Apple,"Apple works fine, just the usual stuff.",neutral
22,Amazon,Great customer service from Amazon. Totally satisfied!,positive
23,Apple,Why is Apple so slow lately? Very frustrating.,negative
24,Microsoft,"Not good, not bad. Microsoft is just average.",neutral
25,Google,Why is Google so slow lately? Very frustrating.,negative
26,Google,"Not good, not bad. Google is just average.",neutral
27,Apple,"Apple works fine, just the usual stuff.",neutral
28,Meta,"Meta works fine, just the usual stuff.",neutral
29,Google,Terrible experience with Google customer support.,negative
30,Amazon,Still exploring Amazon. Too early to judge.,neutral
31,Google,"Not good, not bad. Google is just average.",neutral
32,Apple,The new Apple update is amazing! Loving the features.,positive
33,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
34,Apple,Fast and reliable – Apple never disappoints!,positive
35,Amazon,Impressed with Amazon's latest product release.,positive
36,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
37,Google,Google keeps crashing. Super annoying.,negative
38,Google,Still exploring Google. Too early to judge.,neutral
39,Meta,Meta update broke everything. Please fix it!,negative
40,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
41,Amazon,Great customer service from Amazon. Totally satisfied!,positive
42,Meta,Really disappointed with Meta. Not what I expected.,negative
43,Apple,Great customer service from Apple. Totally satisfied!,positive
44,Google,Tried out Google. Mixed feelings about it.,neutral
45,Meta,Impressed with Meta's latest product release.,positive
46,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
47,Meta,Meta update broke everything. Please fix it!,negative
48,Apple,"I used Apple today. It's okay, nothing special.",neutral
49,Meta,Why is Meta so slow lately? Very frustrating.,negative
50,Apple,Terrible experience with Apple customer support.,negative
51,Google,Really disappointed with Google. Not what I expected.,negative
52,Amazon,"Amazon works fine, just the usual stuff.",neutral
53,Meta,Meta's performance is top-notch. Kudos to the team!,positive
54,Meta,"Meta works fine, just the usual stuff.",neutral
55,Google,Google keeps crashing. Super annoying.,negative
56,Meta,"I used Meta today. It's okay, nothing special.",neutral
57,Meta,Terrible experience with Meta customer support.,negative
58,Apple,Apple's performance is top-notch. Kudos to the team!,positive
59,Amazon,The new Amazon update is amazing! Loving the features.,positive
60,Google,"I used Google today. It's okay, nothing special.",neutral
61,Apple,Tried out Apple. Mixed feelings about it.,neutral
62,Apple,"Apple works fine, just the usual stuff.",neutral
63,Google,Tried out Google. Mixed feelings about it.,neutral
64,Meta,Meta's performance is top-notch. Kudos to the team!,positive
65,Meta,Tried out Meta. Mixed feelings about it.,neutral
66,Google,"Google works fine, just the usual stuff.",neutral
67,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
68,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
69,Apple,Great customer service from Apple. Totally satisfied!,positive
70,Apple,Really disappointed with Apple. Not what I expected.,negative
71,Meta,"Meta works fine, just the usual stuff.",neutral
72,Meta,The new Meta update is amazing! Loving the features.,positive
73,Apple,"I used Apple today. It's okay, nothing special.",neutral
74,Google,The new Google update is amazing! Loving the features.,positive
75,Amazon,Fast and reliable – Amazon never disappoints!,positive
76,Google,Terrible experience with Google customer support.,negative
77,Google,"Google works fine, just the usual stuff.",neutral
78,Meta,Tried out Meta. Mixed feelings about it.,neutral
79,Google,Terrible experience with Google customer support.,negative
80,Google,The new Google update is amazing! Loving the features.,positive
81,Microsoft,Terrible experience with Microsoft customer support.,negative
82,Microsoft,Really disappointed with Microsoft. Not what I expected.,negative
83,Apple,Impressed with Apple's latest product release.,positive
84,Amazon,Great customer service from Amazon. Totally satisfied!,positive
85,Google,Fast and reliable – Google never disappoints!,positive
86,Microsoft,Impressed with Microsoft's latest product release.,positive
87,Google,Terrible experience with Google customer support.,negative
88,Google,Impressed with Google's latest product release.,positive
89,Meta,The new Meta update is amazing! Loving the features.,positive
90,Meta,The new Meta update is amazing! Loving the features.,positive
91,Google,Impressed with Google's latest product release.,positive
92,Microsoft,Microsoft keeps crashing. Super annoying.,negative
93,Microsoft,Great customer service from Microsoft. Totally satisfied!,positive
94,Microsoft,Impressed with Microsoft's latest product release.,positive
95,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
96,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
97,Microsoft,Great customer service from Microsoft. Totally satisfied!,positive
98,Amazon,The new Amazon update is amazing! Loving the features.,positive
99,Meta,Still exploring Meta. Too early to judge.,neutral
100,Apple,"Not good, not bad. Apple is just average.",neutral
101,Apple,Fast and reliable – Apple never disappoints!,positive
102,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
103,Google,Fast and reliable – Google never disappoints!,positive
104,Apple,The new Apple update is amazing! Loving the features.,positive
105,Meta,Great customer service from Meta. Totally satisfied!,positive
106,Microsoft,Fast and reliable – Microsoft never disappoints!,positive
107,Google,Still exploring Google. Too early to judge.,neutral
108,Apple,"I used Apple today. It's okay, nothing special.",neutral
109,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
110,Meta,"Not good, not bad. Meta is just average.",neutral
111,Amazon,Amazon's performance is top-notch. Kudos to the team!,positive
112,Google,Terrible experience with Google customer support.,negative
113,Google,"Not good, not bad. Google is just average.",neutral
114,Microsoft,Really disappointed with Microsoft. Not what I expected.,negative
115,Apple,Apple update broke everything. Please fix it!,negative
116,Meta,The new Meta update is amazing! Loving the features.,positive
117,Meta,Fast and reliable – Meta never disappoints!,positive
118,Amazon,Amazon's performance is top-notch. Kudos to the team!,positive
119,Apple,Apple's performance is top-notch. Kudos to the team!,positive
120,Amazon,Impressed with Amazon's latest product release.,positive
121,Meta,"Not good, not bad. Meta is just average.",neutral
122,Meta,Still exploring Meta. Too early to judge.,neutral
123,Apple,Still exploring Apple. Too early to judge.,neutral
124,Amazon,"I used Amazon today. It's okay, nothing special.",neutral
125,Google,Really disappointed with Google. Not what I expected.,negative
126,Apple,Still exploring Apple. Too early to judge.,neutral
127,Google,Why is Google so slow lately? Very frustrating.,negative
128,Meta,Meta's performance is top-notch. Kudos to the team!,positive
129,Google,"Not good, not bad. Google is just average.",neutral
130,Meta,Why is Meta so slow lately? Very frustrating.,negative
131,Apple,Impressed with Apple's latest product release.,positive
132,Amazon,The new Amazon update is amazing! Loving the features.,positive
133,Amazon,Amazon's performance is top-notch. Kudos to the team!,positive
134,Google,Tried out Google. Mixed feelings about it.,neutral
135,Meta,Tried out Meta. Mixed feelings about it.,neutral
136,Meta,The new Meta update is amazing! Loving the features.,positive
137,Apple,"Apple works fine, just the usual stuff.",neutral
138,Meta,Meta's performance is top-notch. Kudos to the team!,positive
139,Meta,"Meta works fine, just the usual stuff.",neutral
140,Microsoft,The new Microsoft update is amazing! Loving the features.,positive
141,Amazon,Really disappointed with Amazon. Not what I expected.,negative
142,Amazon,Great customer service from Amazon. Totally satisfied!,positive
143,Apple,Apple update broke everything. Please fix it!,negative
144,Microsoft,"Microsoft works fine, just the usual stuff.",neutral
145,Google,Great customer service from Google. Totally satisfied!,positive
146,Microsoft,Great customer service from Microsoft. Totally satisfied!,positive
147,Amazon,Amazon keeps crashing. Super annoying.,negative
148,Amazon,The new Amazon update is amazing! Loving the features.,positive
149,Microsoft,Impressed with Microsoft's latest product release.,positive
150,Google,Impressed with Google's latest product release.,positive
151,Amazon,Amazon keeps crashing. Super annoying.,negative
152,Google,Great customer service from Google. Totally satisfied!,positive
153,Microsoft,Why is Microsoft so slow lately? Very frustrating.,negative
154,Apple,Why is Apple so slow lately? Very frustrating.,negative
155,Meta,Meta update broke everything. Please fix it!,negative
156,Amazon,The new Amazon update is amazing! Loving the features.,positive
157,Amazon,Fast and reliable – Amazon never disappoints!,positive
158,Amazon,The new Amazon update is amazing! Loving the features.,positive
159,Meta,Why is Meta so slow lately? Very frustrating.,negative
160,Amazon,Amazon update broke everything. Please fix it!,negative
161,Meta,Impressed with Meta's latest product release.,positive
162,Meta,Meta's performance is top-notch. Kudos to the team!,positive
163,Apple,Tried out Apple. Mixed feelings about it.,neutral
164,Apple,Still exploring Apple. Too early to judge.,neutral
165,Google,Terrible experience with Google customer support.,negative
166,Apple,"Not good, not bad. Apple is just average.",neutral
167,Meta,Really disappointed with Meta. Not what I expected.,negative
168,Amazon,"Not good, not bad. Amazon is just average.",neutral
169,Microsoft,Terrible experience with Microsoft customer support.,negative
170,Amazon,"Amazon works fine, just the usual stuff.",neutral
171,Google,Terrible experience with Google customer support.,negative
172,Google,Still exploring Google. Too early to judge.,neutral
173,Amazon,Amazon update broke everything. Please fix it!,negative
174,Apple,Why is Apple so slow lately? Very frustrating.,negative
175,Google,Google update broke everything. Please fix it!,negative
176,Meta,"Not good, not bad. Meta is just average.",neutral
177,Microsoft,Terrible experience with Microsoft customer support.,negative
178,Google,Tried out Google. Mixed feelings about it.,neutral
179,Google,"I used Google today. It's okay, nothing special.",neutral
180,Amazon,Still exploring Amazon. Too early to judge.,neutral
181,Amazon,Great customer service from Amazon. Totally satisfied!,positive
182,Amazon,Great customer service from Amazon. Totally satisfied!,positive
183,Google,The new Google update is amazing! Loving the features.,positive
184,Google,Google update broke everything. Please fix it!,negative
185,Apple,Terrible experience with Apple customer support.,negative
186,Meta,Impressed with Meta's latest product release.,positive
187,Microsoft,Microsoft keeps crashing. Super annoying.,negative
188,Google,"I used Google today. It's okay, nothing special.",neutral
189,Apple,Apple keeps crashing. Super annoying.,negative
190,Google,Still exploring Google. Too early to judge.,neutral
191,Microsoft,Fast and reliable – Microsoft never disappoints!,positive
192,Google,Impressed with Google's latest product release.,positive
